"","ID","band_num","cohort","caught_as","caught","disappeared","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde"
"1244","696692-ynYY","016-96692","1992","Nestling","8-Jan-93","19-Jul-94","Unknown",NA,1,1,"696413-WBN",NA,"575472-NNN",4,NA,NA,"F",3,3,1
"1245","696693-ynNO","016-96693","1992","Nestling","8-Jan-93","30-Nov-93","Died",6,1,1,"696413-WBN",NA,"575472-NNN",4,"575472-NNN",4,"M",0,0,0
"1246","696694-ynOG","016-96694","1992","Nestling","8-Jan-93","30-Jul-96","Died",6,1,1,"696413-WBN",NA,"575472-NNN",4,NA,NA,"M",1,1,1
"1247","696695-rwGA","016-96695","1992","Nestling","8-Jan-93","25-Oct-93","Died",NA,1,1,"696415-RRM",NA,"696471-AWN",NA,NA,NA,"M",0,0,0
"1248","696696-rwNR2","016-96696","1992","Nestling","8-Jan-93","24-Jan-93","Died",NA,1,0,"696415-RRM",NA,"696471-AWN",NA,NA,NA,"F",0,0,0
"1249","696697-rwMM","016-96697","1992","Nestling","8-Jan-93","3-Dec-93","Died",6,1,1,"696415-RRM",NA,"696471-AWN",NA,NA,NA,"M",0,0,0
"1250","696698-rwGY2","016-96698","1992","Nestling","8-Jan-93","8-Jan-93","Died",NA,0,0,"568378-BMY2",NA,"653012-gARG",NA,NA,NA,"F",0,0,0
"1251","696699-rwAN2","016-96699","1992","Nestling","8-Jan-93","8-Jan-93","Died",NA,0,0,"568378-BMY2",NA,"653012-gARG",NA,"696452-ANR",NA,"M",0,0,0
"1252","696700-rwBA2","016-96700","1992","Nestling","8-Jan-93","8-Jan-93","Died",NA,0,0,"568378-BMY2",NA,"653012-gARG",NA,"653012-gARG",NA,"M",0,0,0
"1253","696743-rwAR2","016-96743","1992","Nestling","8-Jan-93","8-Jan-93","Died",NA,0,0,"568378-BMY2",NA,"653012-gARG",NA,"653012-gARG",NA,"M",0,0,0
"1254","725012-rwMB2","017-25012","1992","Nestling","8-Jan-93","1-Aug-93","Died",NA,1,1,"543762-MMM",NA,"574719-YRN",NA,"574719-YRN",NA,"M",0,0,0
"1255","725013-rwAY2","017-25013","1992","Nestling","8-Jan-93","26-Sep-93","Dispersedoutside",NA,1,1,"543762-MMM",NA,"574719-YRN",NA,"574719-YRN",NA,"F",0,0,0
"1256","725014-rwCG","017-25014","1992","Nestling","8-Jan-93","15-Aug-93","Died",NA,1,1,"543762-MMM",NA,"574719-YRN",NA,"626946-NWY",2,"M",0,0,0
"1257","725015-grYG","017-25015","1992","Nestling","10-Jan-93","11-Jul-95","Died",6,1,1,"626904-WGN",2,"626610-OnyR",3,"596879-NGN",3,"M",2,0,0
"1258","725016-grNM2","017-25016","1992","Nestling","10-Jan-93","31-May-94","Died",6,1,1,"626904-WGN",2,"626610-OnyR",3,"626610-OnyR",3,"M",0,0,0
"1259","725017-grBA","017-25017","1992","Nestling","10-Jan-93","1-Nov-93","Dispersedoutside",NA,1,1,"626904-WGN",2,"626610-OnyR",3,"433384-YRG",5,"F",0,0,0
"1260","725018-grRM2","017-25018","1992","Nestling","10-Jan-93","20-Jan-93","Died",NA,1,0,"626905-NWW",2,"574752-RMG",5,"626840-WWP",2,"M",0,0,0
"1261","725019-grRO","017-25019","1992","Nestling","10-Jan-93","5-Oct-93","Dispersedoutside",NA,1,1,"626904-WGN",2,"626610-OnyR",3,"596879-NGN",3,"F",0,0,0
"1262","725020-grWO2","017-25020","1992","Nestling","10-Jan-93","20-Jan-93","Died",NA,1,0,"626905-NWW",2,"574752-RMG",5,"626840-WWP",2,"F",0,0,0
"1263","725021-grYY","017-25021","1992","Nestling","10-Jan-93","20-Jan-93","Died",NA,1,0,"626905-NWW",2,"574752-RMG",5,"626840-WWP",2,"F",0,0,0
"1264","725022-grAG","017-25022","1992","Nestling","10-Jan-93","20-Jan-93","Died",NA,1,0,"626905-NWW",2,"574752-RMG",5,"626840-WWP",2,"M",0,0,0
"1265","725023-bwAG","017-25023","1992","Nestling","10-Jan-93","30-May-93","Died",NA,1,1,"596801-GWR",4,"686899-GRM",NA,"686899-GRM",NA,"M",0,0,0
"1266","725024-bwON2","017-25024","1992","Nestling","10-Jan-93","17-Jan-93","Died",NA,1,0,"596801-GWR",4,"686899-GRM",NA,"686899-GRM",NA,"F",0,0,0
"1267","725025-bwMM2","017-25025","1992","Nestling","10-Jan-93","21-Feb-93","Died",NA,1,1,"596801-GWR",4,"686899-GRM",NA,NA,NA,"M",0,0,0
"1268","725026-rwGM","017-25026","1992","Nestling","11-Jan-93","26-Apr-99","Died",6,1,1,"574741-BRN",NA,"626849-WYB",2,"626883-BboG",2,"M",18,17,13
"1269","725027-rwBO","017-25027","1992","Nestling","11-Jan-93","19-Jul-94","Died",6,1,1,"574741-BRN",NA,"626849-WYB",2,"626883-BboG",2,"M",0,0,0
