ID,band_num,cohort,caught_as,caught,disappeared,fate,outside_area,fledged,independent,mum,Mage,dad_soc,Sage,dad_bio,Bage,sex,LRStot,LRSfledge,LRSinde
A30438-NgrB,01A-30438,2013,Nestling,25-Nov-13,30-Aug-15,Died,6,1,1,A30127-ngOW,1,982816-gnAN,2,982816-gnAN,2,M,0,0,0
A30439-OgrO,01A-30439,2013,Nestling,25-Nov-13,15-Feb-14,Unknown,,1,1,A30127-ngOW,1,982816-gnAN,2,982816-gnAN,2,M,0,0,0
A30440-YgrY,01A-30440,2013,Nestling,25-Nov-13,30-Nov-13,Died,,1,0,A30127-ngOW,1,982816-gnAN,2,982816-gnAN,2,F,0,0,0
A30441-OrbM,01A-30441,2013,Nestling,27-Nov-13,1-Dec-13,Died,,0,0,A30409-BMA,1,899131-GwrG,8,982816-gnAN,2,M,0,0,0
A30442-ArbR,01A-30442,2013,Nestling,27-Nov-13,1-Dec-13,Died,,0,0,A30409-BMA,1,899131-GwrG,8,982816-gnAN,2,F,0,0,0
A30443-NrbW,01A-30443,2013,Nestling,27-Nov-13,1-Dec-13,Died,,0,0,A30409-BMA,1,899131-GwrG,8,982816-gnAN,2,M,0,0,0
A30445-MTO,01A-30445,2013,Nestling,27-Nov-13,3-Dec-13,Died,,1,0,A30046-YMR,2,982098-GwgY,4,982098-GwgY,4,M,0,0,0
A30446-WTA,01A-30446,2013,Nestling,27-Nov-13,3-Dec-13,Died,,1,0,A30046-YMR,2,982098-GwgY,4,898797-YweY,8,M,0,0,0
A30447-RTB,01A-30447,2013,Nestling,27-Nov-13,11-Sep-14,Dispersedoutside,,1,1,A30046-YMR,2,982098-GwgY,4,982098-GwgY,4,F,0,0,0
A30448-GgbA,01A-30448,2013,Nestling,29-Nov-13,9-Feb-14,Unknown,,1,1,981848-WGB,5,981834-ANW,5,981834-ANW,5,F,0,0,0
A30449-MgbM,01A-30449,2013,Nestling,29-Nov-13,21-May-14,Died,,1,1,981848-WGB,5,981834-ANW,5,982857-TMR,2,M,0,0,0
A30450-BgbN,01A-30450,2013,Nestling,29-Nov-13,28-May-15,Died,6,1,1,981848-WGB,5,981834-ANW,5,982857-TMR,2,M,2,2,2
A30451-RgbO,01A-30451,2013,Nestling,29-Nov-13,1-Jan-14,Unknown,,1,1,981848-WGB,5,981834-ANW,5,981834-ANW,5,F,0,0,0
A30452-AgrB,01A-30452,2013,Nestling,3-Dec-13,5-Dec-13,Died,,0,0,982612-RarO,3,982349-OarN,3,982349-OarN,3,U,0,0,0
A30453-WgrG,01A-30453,2013,Nestling,3-Dec-13,5-Dec-13,Died,,0,0,982612-RarO,3,982349-OarN,3,982349-OarN,3,F,0,0,0
A30454-NgrM,01A-30454,2013,Nestling,3-Dec-13,5-Dec-13,Died,,0,0,982612-RarO,3,982349-OarN,3,982349-OarN,3,F,0,0,0
A30455-YrwG,01A-30455,2013,Nestling,3-Dec-13,7-Dec-13,Died,,1,0,982526-WAA,3,A30104-ngWW,1,899131-GwrG,8,F,0,0,0
A30456-MrwB,01A-30456,2013,Nestling,3-Dec-13,7-Dec-13,Died,,1,0,982526-WAA,3,A30104-ngWW,1,A30104-ngWW,1,F,0,0,0
A30457-BrbN,01A-30457,2013,Nestling,3-Dec-13,14-Dec-13,Died,,1,0,A30343-WMO,2+,982863-nyMO,2,A30346-BWG,1,M,0,0,0
A30458-GrbA,01A-30458,2013,Nestling,3-Dec-13,21-Dec-13,Died,,1,0,981882-OOM,5,982887-awNW,2,982598-MnoB,3,F,0,0,0
A30459-WrbN,01A-30459,2013,Nestling,3-Dec-13,7-Aug-15,Died,6,1,1,981882-OOM,5,982887-awNW,2,982598-MnoB,3,M,0,0,0
A30460-RrbO,01A-30460,2013,Nestling,3-Dec-13,1-Dec-14,Died,2,1,1,981882-OOM,5,982887-awNW,2,982598-MnoB,3,F,0,0,0
