"","ID","cohort","fate","outside_area","fledged","independent","mum","Mage","dad_soc","Sage","dad_bio","Bage","sex","LRStot","LRSfledge","LRSinde","lifespan","lifespanM","lifespanB","lifespanS","MageM","BageM","SageM","MageREL","BageREL","SageREL","EP","Nest.ID.mother","Jincube","help.cat","incest","weight","weight.age","EPb","WPb","NestID","help.ep"
"4728","982411-OngN",2010,"Died",NA,1,1,"982185-YOY",1,"898723-brWB",6,"899108-GweW",5,"F",0,0,0,1,7,7,8,3.6,5.03703703703704,4.35714285714286,-2.6,-0.0370370370370372,1.64285714285714,"yes","YOY_5584",0.530054644808743,"twoPlus","No",6.6,7,1,0,"YOY_5584",NA
"4729","982412-RngO",2010,"Died",NA,1,1,"982185-YOY",1,"898723-brWB",6,"898723-brWB",6,"M",0,0,0,1,7,8,8,3.6,4.33333333333333,4.35714285714286,-2.6,1.66666666666667,1.64285714285714,"no","YOY_5584",0.530054644808743,"twoPlus","No",6.9,7,0,1,"YOY_5584",NA
"4730","982413-MnoA",2010,"Died",6,1,1,"982151-AAO",1,"982155-NGM",1,"898759-ArnM",5,"M",0,0,0,3,5,7,3,2.19230769230769,4.30769230769231,1.55555555555556,-1.19230769230769,0.692307692307693,-0.555555555555556,"yes","AAO_5256",0.53551912568306,"none","No",7.6,7,1,0,"AAO_5256",NA
"4731","982414-GnoB",2010,"Died",NA,1,1,"982151-AAO",1,"982155-NGM",1,"898759-ArnM",5,"F",0,0,0,1,5,7,3,2.19230769230769,4.30769230769231,1.55555555555556,-1.19230769230769,0.692307692307693,-0.555555555555556,"yes","AAO_5256",0.53551912568306,"none","No",7.3,7,1,0,"AAO_5256",NA
"4732","982415-OnoN",2010,"Died",NA,1,0,"982151-AAO",1,"982155-NGM",1,"898759-ArnM",5,"F",0,0,0,1,5,7,3,2.19230769230769,4.30769230769231,1.55555555555556,-1.19230769230769,0.692307692307693,-0.555555555555556,"yes","AAO_5256",0.53551912568306,"none","No",7.5,7,1,0,"AAO_5256",NA
"4733","982422-YwnM",2010,"Died",NA,1,0,"982101-MYR",1,"899987-rnNB",2,"898278-noYY",7,"M",0,0,0,1,2,8,3,1,4.96296296296296,2,0,2.03703703703704,0,"yes","MYR_5416",0.540983606557377,"one","No",8.3,9,1,0,"MYR_5416",NA
"4734","982423-WwnR",2010,"Died",NA,1,0,"982101-MYR",1,"899987-rnNB",2,"899987-rnNB",2,"F",0,0,0,1,2,3,3,1,2,2,0,0,0,"no","MYR_5416",0.540983606557377,"one","No",8.2,9,0,1,"MYR_5416","yes"
"4735","982424-OwnB",2010,"Died",NA,1,0,"982101-MYR",1,"899987-rnNB",2,"898278-noYY",7,"F",0,0,0,1,2,8,3,1,4.96296296296296,2,0,2.03703703703704,0,"yes","MYR_5416",0.540983606557377,"one","No",8,9,1,0,"MYR_5416",NA
"4736","982425-GwnG",2010,"Died",NA,1,1,"982101-MYR",1,"899987-rnNB",2,"898278-noYY",7,"F",0,0,0,1,2,8,3,1,4.96296296296296,2,0,2.03703703703704,0,"yes","MYR_5416",0.540983606557377,"one","No",8.7,9,1,0,"MYR_5416",NA
"4737","982426-AryA2",2010,"Died",NA,1,0,"982076-OonG",1,"899199-OgoY",5,"899199-OgoY",5,"M",0,0,0,1,2,10,10,1,6.94444444444444,5.88888888888889,0,-1.94444444444444,-0.888888888888889,"no","OonG_5461",0.557377049180328,"none","No",7.2,7,0,1,"OonG_5461",NA
"4738","982427-RryO",2010,"Died",NA,1,0,"982076-OonG",1,"899199-OgoY",5,"899199-OgoY",5,"M",0,0,0,1,2,10,10,1,6.94444444444444,5.88888888888889,0,-1.94444444444444,-0.888888888888889,"no","OonG_5461",0.557377049180328,"none","No",7.2,7,0,1,"OonG_5461",NA
"4739","982428-YryB",2010,"Died",NA,1,0,"982076-OonG",1,"899199-OgoY",5,"899199-OgoY",5,"M",0,0,0,1,2,10,10,1,6.94444444444444,5.88888888888889,0,-1.94444444444444,-0.888888888888889,"no","OonG_5461",0.557377049180328,"none","No",7,7,0,1,"OonG_5461",NA
"4740","982429-MryW",2010,"Died",NA,1,0,"982076-OonG",1,"899199-OgoY",5,"899199-OgoY",5,"F",0,0,0,1,2,10,10,1,6.94444444444444,5.88888888888889,0,-1.94444444444444,-0.888888888888889,"no","OonG_5461",0.557377049180328,"none","No",6.9,7,0,1,"OonG_5461",NA
"4741","982431-NngN",2010,"Died",NA,1,0,"982137-RWB",1,"898256-ngOM",7,"898256-ngOM",7,"F",0,0,0,1,2,8,8,1,4.375,5.07692307692308,0,2.625,1.92307692307692,"no","RWB_5500",0.557377049180328,"none","No",6.3,6,0,1,"RWB_5500",NA
"4742","982432-GngA",2010,"Died",NA,1,0,"982137-RWB",1,"898256-ngOM",7,"898256-ngOM",7,"F",0,0,0,1,2,8,8,1,4.375,5.07692307692308,0,2.625,1.92307692307692,"no","RWB_5500",0.557377049180328,"none","No",6.8,6,0,1,"RWB_5500",NA
"4743","982433-BngM",2010,"Died",6,1,1,"982137-RWB",1,"898256-ngOM",7,"898256-ngOM",7,"M",2,2,1,7,2,8,8,1,4.375,5.07692307692308,0,2.625,1.92307692307692,"no","RWB_5500",0.557377049180328,"none","No",7.1,6,0,1,"RWB_5500",NA
"4744","982434-RwnO",2010,"Died",NA,0,0,"982170-OGM",1,"982096-AonM",1,"899041-NwrA",5,"M",0,0,0,1,2,8,2,1.2,5.5,1,-0.2,-0.5,0,"yes","OGM_5445",0.551912568306011,"none","No",6.9,6,1,0,"OGM_5445",NA
"4745","982435-MwnY",2010,"Died",NA,0,0,"982170-OGM",1,"982096-AonM",1,"899041-NwrA",5,"F",0,0,0,1,2,8,2,1.2,5.5,1,-0.2,-0.5,0,"yes","OGM_5445",0.551912568306011,"none","No",7.1,6,1,0,"OGM_5445",NA
"4746","982436-YarA",2010,"Died",NA,1,0,"981867-MWG",2,"899816-AYO",3,"982187-BGN",NA,"F",0,0,0,1,NA,NA,4,1.7,NA,2.7,0.3,NA,0.3,"yes","MWG_5404",0.551912568306011,"twoPlus","No",9.5,8,1,0,"MWG_5404",NA
"4747","982437-OarB",2010,"Died",6,1,1,"981867-MWG",2,"899816-AYO",3,"982187-BGN",NA,"M",0,0,0,2,NA,NA,4,1.7,NA,2.7,0.3,NA,0.3,"yes","MWG_5404",0.551912568306011,"twoPlus","No",9.1,8,1,0,"MWG_5404",NA
"4748","982438-RarM",2010,"Died",NA,1,0,"981867-MWG",2,"899816-AYO",3,"899816-AYO",3,"F",0,0,0,1,NA,4,4,1.7,2.57142857142857,2.7,0.3,0.428571428571428,0.3,"no","MWG_5404",0.551912568306011,"twoPlus","No",8.7,8,0,1,"MWG_5404",NA
"4749","982439-WarN",2010,"Died",6,1,1,"981867-MWG",2,"899816-AYO",3,"982187-BGN",NA,"M",0,0,0,3,NA,NA,4,1.7,NA,2.7,0.3,NA,0.3,"yes","MWG_5404",0.551912568306011,"twoPlus","No",8.1,8,1,0,"MWG_5404",NA
"4750","982442-YawB",2010,"Died",NA,1,1,"899792-GOG",3,"899551-raBM",3,"899830-MAG",NA,"F",0,0,0,1,4,NA,6,2.29411764705882,NA,3.70588235294118,0.705882352941177,NA,-0.705882352941177,"yes","GOG_5376",0.568306010928962,"one","No",7.5,7,1,0,"GOG_5376",NA
"4751","982443-WawN",2010,"Died",NA,1,1,"899792-GOG",3,"899551-raBM",3,"899830-MAG",NA,"M",0,0,0,1,4,NA,6,2.29411764705882,NA,3.70588235294118,0.705882352941177,NA,-0.705882352941177,"yes","GOG_5376",0.568306010928962,"one","No",7.5,7,1,0,"GOG_5376",NA
"4752","982444-MawR",2010,"Died",NA,1,1,"899792-GOG",3,"899551-raBM",3,"899551-raBM",3,"F",0,0,0,1,4,6,6,2.29411764705882,4,3.70588235294118,0.705882352941177,-1,-0.705882352941177,"no","GOG_5376",0.568306010928962,"one","No",7.3,7,0,1,"GOG_5376",NA
"4753","982445-OawA",2010,"Died",6,1,1,"899792-GOG",3,"899551-raBM",3,"899551-raBM",3,"M",2,1,1,3,4,6,6,2.29411764705882,4,3.70588235294118,0.705882352941177,-1,-0.705882352941177,"no","GOG_5376",0.568306010928962,"one","No",7,7,0,1,"GOG_5376",NA
"4754","982446-WwnW",2010,"Died",NA,1,1,"982169-GWA",1,"899869-arWN",2,"982073-GnwR",1,"F",0,0,0,1,3,9,4,1.46153846153846,4.9,2.05555555555556,-0.461538461538461,-3.9,-0.0555555555555554,"yes","GWA_5379",0.573770491803279,"one","No",5.6,6,1,0,"GWA_5379","yes"
